model_family,model_file,gen_type,image_type,positive_prompt,negative_prompt,loras,lora_count,width,height,steps,sampler,scheduler,seed
flux,flux1-dev.safetensors,t2i,SFW,"Hyperrealistic photo of chelsea, woman sitting poolside, blue eyes, blonde hair.",,chelsea-v1-000014.safetensors@1,1,896,1152,15,euler,beta,833877662594617
flux,flux1-dev.safetensors,t2i,SFW,"Hyperrealistic photo of chelsea, woman sitting poolside, blue eyes, blonde hair.",,chelsea-v1-000015.safetensors@1,1,896,1152,15,euler,beta,827450957687806
flux,flux1-dev.safetensors,t2i,SFW,"Hyperrealistic photo of chelsea, woman sitting poolside, blue eyes, blonde hair.",,chelsea-v1.safetensors@1,1,896,1152,15,euler,beta,247416540148425
flux,flux1-dev.safetensors,t2i,SFW,"Hyperrealistic photo of chelsea, woman sitting at a picnic table in a park, blue eyes, blonde hair.",,chelsea-v1-000014.safetensors@1,1,896,1152,15,euler,beta,649386585369485
flux,flux1-dev.safetensors,t2i,SFW,"Hyperrealistic photo of chelsea, woman sitting at a picnic table in a park, blue eyes, blonde hair.",,chelsea-v1-000015.safetensors@1,1,896,1152,15,euler,beta,949351656034172
flux,flux1-dev.safetensors,t2i,SFW,"Hyperrealistic photo of chelsea, woman sitting at a picnic table in a park, blue eyes, blonde hair.",,chelsea-v1.safetensors@1,1,896,1152,15,euler,beta,940630889614137
flux,flux1-dev.safetensors,t2i,SFW,"Hyperrealistic photo of chelsea, woman sitting at a picnic table in a park, blue eyes, blonde hair.  wearing western wear, open blouse",,chelsea-v1-000014.safetensors@1,1,896,1152,15,euler,beta,257087913558238
flux,atomixFLUXUnet_v10.safetensors,t2i,SFW,"Hyperrealistic photo of chelsea, woman sitting at a picnic table in a park, blue eyes, blonde hair.  wearing western wear, open blouse",,chelsea-v1-000014.safetensors@1,1,896,1152,15,euler,beta,343863487034812
flux,atomixFLUXUnet_v10.safetensors,t2i,SFW,"Hyperrealistic photo of chelsea, woman sitting at a picnic table in a park, blue eyes, blonde hair.  She's wearing a cowboy outfit holdingg her shirt open.",,chelsea-v1-000014.safetensors@1,1,896,1152,15,euler,beta,63133971792196
flux,atomixFLUXUnet_v10.safetensors,t2i,NSFW,"photograph of a dimly lit library, , saggy breasts,  leaning her back up against a shelf full of old books, unbuttoned blouse reveals her breasts, open shirt, erect nipples, lifting her long skirt to show off her legs, sexy, alluring, long brunette hair, glasses hanging low on her nose",,chelsea-v1-000014.safetensors@1,1,896,1152,15,euler,beta,648390438017116
flux,atomixFLUXUnet_v10.safetensors,t2i,NSFW,"photograph of a dimly lit library, , saggy breasts,  leaning her back up against a shelf full of old books, unbuttoned blouse reveals her breasts, open shirt, erect nipples, lifting her long skirt to show off her legs, sexy, alluring, long brunette hair, glasses hanging low on her nose",,chelsea-v1-000014.safetensors@1; Sagging-Breasts v2.safetensors@0.4,2,896,1152,15,euler,beta,920227629538975
flux,atomixFLUXUnet_v10.safetensors,t2i,NSFW,"photograph of a dimly lit library, , saggy breasts,  leaning her back up against a shelf full of old books, unbuttoned blouse reveals her breasts, holding shirt open flashing her breasts, erect nipples, lifting her long skirt to show off her legs, sexy, alluring, long brunette hair, glasses hanging low on her nose",,chelsea-v1-000014.safetensors@1; Sagging-Breasts v2.safetensors@0.4,2,896,1152,15,euler,beta,526124426209960
flux,cumzilla8BitFlux_8bitV2.safetensors,t2i,NSFW,"high resolution, ultra realistic, DLSR photo, a skinny cheerleader is looking up at the viewer, Her hair is in a high ponytail. She is kneeling on the floor leaning back, wearing a Black cheerleading uniform, large breasts, cleavage, She looks extremely disgusted and angry, dark eye makeup, There is fresh, stringy, wet, runny, white transparent cum splattered across her face. There is cum on her uniform.  heavy black eye makeup, facial, cum on face,cum facial. bukkake, excessive amounts of white, thick, gooey cum all over and covering her face, cheeks, hair and forehead and dripping down onto her shirt. The cum coats her face in a thick layer, bright dynamic lighting, there is cum all over her uniform. The background is a dirty football locker room.",,chelsea-v1-000014.safetensors@1,1,896,1152,15,euler,beta,859169852593553
flux,cumzilla8BitFlux_8bitV2.safetensors,t2i,NSFW,"photograph of a dimly lit library, , saggy breasts,  leaning her back up against a shelf full of old books, unbuttoned blouse reveals her breasts, holding shirt open flashing her breasts, erect nipples, lifting her long skirt to show off her legs, sexy, alluring, long blonde hair, blue eyes, glasses hanging low on her nose.  Her breasts are coated in cum, cum ropes on her face dripping off her face onto her breasts.  Cum in eyes, cum in hair.  Cum on glasses",,chelsea-v1-000014.safetensors@1; Sagging-Breasts v2.safetensors@0.4,2,896,1152,15,euler,beta,979019907693493
flux,cumzilla8BitFlux_8bitV2.safetensors,t2i,NSFW,"photograph of a dimly lit library, , saggy breasts,  leaning her back up against a shelf full of old books, unbuttoned blouse reveals her breasts, holding shirt open flashing her breasts, erect nipples, sexy, alluring, long blonde hair, blue eyes, glasses hanging low on her nose.  eyes squinting with her face covered in tons of liquid, gooey white cum all over her upturned face and forehead, coating the woman's face, forehead and hair in a thick layer of cum. tons of cum on breasts, covered in liquid goey white cum.",,chelsea-v1-000014.safetensors@1; Sagging-Breasts v2.safetensors@0.4,2,896,1152,15,euler,beta,1096265650245183
flux,cumzilla8BitFlux_8bitV2.safetensors,t2i,NSFW,"photograph of a dimly lit library, , saggy breasts,  leaning her back up against a shelf full of old books, unbuttoned blouse reveals her breasts, holding shirt open flashing her breasts, erect nipples, sexy, alluring, long blonde hair, blue eyes, glasses hanging low on her nose.  eyes squinting with her face covered in tons of liquid, gooey white cum all over her upturned face and forehead, coating the woman's face, forehead and hair in a thick layer of cum. tons of cum on breasts, covered in liquid goey white cum.",,chelsea-v1-000014.safetensors@1; nipplediffusion-f1.safetensors@0.6,2,896,1152,15,euler,beta,950228179696361
flux,cumzilla8BitFlux_8bitV2.safetensors,t2i,NSFW,"photograph of a dimly lit library, , saggy breasts,  leaning her back up against a shelf full of old books, unbuttoned blouse reveals her breasts, holding shirt open flashing her breasts, erect nipples, sexy, alluring, long blonde hair, blue eyes, glasses hanging low on her nose. looking at the viewer with her eyes squinting and is naked with her face covered in tons of liquid, gooey white cum all over her upturned face and forehead, coating the woman's face, forehead and hair in a thick layer of cum.",,chelsea-v1-000014.safetensors@1; nipplediffusion-f1.safetensors@0.6,2,896,1152,15,euler,beta,90344339805472
flux,cumzilla8BitFlux_8bitV2.safetensors,t2i,NSFW,"chelsea_v1 on the beach, saggy breasts, blonde hair, blue eyes, naked, POV missionary sex with her breasts, covered in tons of liquid, gooey white cum all over her upturned face and forehead, coating the woman's face, forehead and hair in a thick layer of cum.",,chelsea-v1-000014.safetensors@1; Nsfw_DAP_Missionary.safetensors@0.4,2,896,1152,15,euler,beta,820060502715311
flux,cumzilla8BitFlux_8bitV2.safetensors,t2i,NSFW,"chelsea_v1 on the beach, saggy breasts, blonde hair, blue eyes, naked, POV missionary sex",,chelsea-v1-000014.safetensors@1; Nsfw_DAP_Missionary.safetensors@0.4,2,896,1152,15,euler,beta,1054343859998977
flux,atomixFLUXUnet_v10.safetensors,t2i,NSFW,"chelsea_v1 on the beach, saggy breasts, blonde hair, blue eyes, naked, POV missionary sex",,chelsea-v1-000014.safetensors@1; Nsfw_DAP_Missionary.safetensors@0.4,2,896,1152,15,euler,beta,257432849482885
flux,atomixFLUXUnet_v10.safetensors,t2i,NSFW,"top down pov of a woman having missionary vaginal sex with a man on the bed with rose petals scattered throughout the bed, her legs are spread exposing her pussy as she is being roughly fucked, wearing sexy Valentine's themed bra, she is in her gamer girl themed room with colorful led lights illuminating the room, chelsea_v1, blue eyes",,chelsea-v1-000014.safetensors@1; Nsfw_DAP_Missionary.safetensors@0.4,2,896,1152,15,euler,beta,599714003322575
flux,atomixFLUXUnet_v10.safetensors,t2i,NSFW,"top down pov of a woman having missionary vaginal sex with a man on the beach, her legs are spread exposing her pussy as she is being fucked in the ass and vagina, chelsea_v1, blue eyes",,chelsea-v1-000014.safetensors@1; Nsfw_DAP_Missionary.safetensors@0.4,2,896,1152,15,euler,beta,212437271118363
flux,atomixFLUXUnet_v10.safetensors,t2i,NSFW,"top down pov of a woman having missionary vaginal sex with a man on the beach, her legs are spread exposing her pussy as she is being fucked in her pussy with his fist, chelsea_v1, blue eyes",,chelsea-v1-000014.safetensors@1; Nsfw_DAP_Missionary.safetensors@0.4,2,896,1152,15,euler,beta,657875834371376
flux,atomixFLUXUnet_v10.safetensors,t2i,NSFW,"top down pov of a woman having missionary vaginal sex with a man on the beach, her legs are spread exposing her pussy as she is being fucked in her pussy with his penis, chelsea_v1, blue eyes",,chelsea-v1-000014.safetensors@1; Nsfw_DAP_Missionary.safetensors@0.4,2,896,1152,15,euler,beta,358837173639482
flux,atomixFLUXUnet_v10.safetensors,t2i,NSFW,"top down pov of a woman having missionary vaginal sex with a man on the beach, her legs are spread exposing her pussy as she is being fucked in her pussy with his penis, chelsea_v1, blue eyes",,chelsea-v1-000014.safetensors@1; zxmod missionary_pov-000004.safetensors@0.4,2,896,1152,15,euler,beta,291436626585596
flux,atomixFLUXUnet_v10.safetensors,t2i,NSFW,"chelsea_v1, blue eyes, blonde hair, walking naked on the beach.  Waves splashing her feet, saggy breasts, ghost nipples, shaved pussy.",,chelsea-v1-000014.safetensors@1; nipplediffusion-f1.safetensors@0.6; pussydiffusion-f1.safetensors@0.4,3,896,1152,15,euler,beta,784133847000000
flux,cumzilla8BitFlux_8bitV2.safetensors,t2i,NSFW,"chelsea_v1, blue eyes, blonde hair, walking naked on the beach.  Waves splashing her feet, saggy breasts, ghost nipples, shaved pussy.  face coated in cum, lots of white liquid on face, cum ropes on face, cum on eyes",,chelsea-v1-000014.safetensors@1; nipplediffusion-f1.safetensors@0.6; pussydiffusion-f1.safetensors@0.4,3,896,1152,15,euler,beta,949270987673405
flux,cumzilla8BitFlux_8bitV2.safetensors,t2i,NSFW,"chelsea_v1, blue eyes, blonde hair, walking naked on the beach.  Waves splashing her feet, saggy breasts, ghost nipples, shaved pussy.  tits coated in cum, lots of white liquid on tits, cum ropes on tits, cum on nipples",,chelsea-v1-000014.safetensors@1; nipplediffusion-f1.safetensors@0.6; pussydiffusion-f1.safetensors@0.4,3,896,1152,15,euler,beta,315451969087220
flux,cumzilla8BitFlux_8bitV2.safetensors,t2i,NSFW,"chelsea_v1, blue eyes, blonde hair, with wide hips and thick thighs (blonde :1.2) messy:0. 9) hair is totally (naked:1.1) on a snowy street full of people looking at her, sunny day UHD. , best possible quality, God rays (volumetric:1.1) light, her (hair:1.1) is (flowing:1.1) in the (wind:1.1)  a subtle smile and sexy pose wearing a trench coat and black choker necklace.  She is holding the trench coat open exposing her naked body. The scene is shot with (Kodakportra800:1.1) (filmgrain:1.1) (Analogcamera:1.1) (85mm:1.1) (carlzeiss:1.1) (planar@f2:1.1), clear background images",,chelsea-v1-000014.safetensors@1; nipplediffusion-f1.safetensors@0.6; pussydiffusion-f1.safetensors@0.4,3,896,1152,15,euler,beta,1053495509092405
flux,cumzilla8BitFlux_8bitV2.safetensors,t2i,NSFW,"chelsea_v1, blue eyes, blonde hair, By a sparkling riverbank in a sunlit forest, ,  gently pets a calm mountain lion. Wearing only an open shit, she kneels beside the big cat, her hand resting softly on its sleek, tawny fur. Sunlight filters through the trees, casting a warm glow on the pair, while the river flows quietly nearby, reflecting patches of blue sky. The mountain lion sits peacefully, its eyes half-closed, seeming to enjoy the woman's touch, as birds chirp softly in the distance and leaves rustle in the gentle breeze.",,chelsea-v1-000014.safetensors@1; nipplediffusion-f1.safetensors@0.6; pussydiffusion-f1.safetensors@0.4,3,896,1152,15,euler,beta,307677386966826
